startTimestamp,endTimestamp,location
"2019-04-16 16:09:09","2019-04-16 16:19:09",2202
"2019-04-16 16:30:06","2019-04-16 16:40:06",2051
"2019-04-16 16:30:07","2019-04-16 16:40:07",2224
"2019-04-16 16:30:12","2019-04-16 16:40:12",4059
"2019-04-16 16:53:47","2019-04-16 16:55:19",4209
"2019-04-16 16:53:48","2019-04-16 17:03:48",3209
"2019-04-16 16:53:49","2019-04-16 17:03:49",2076
"2019-04-16 16:53:52","2019-04-16 17:03:52",5026
"2019-04-16 16:53:55","2019-04-16 17:03:55",6082
"2019-04-16 16:53:59","2019-04-16 17:03:59",2051
"2019-04-16 16:55:16","2019-04-16 17:05:16",2202
"2019-04-16 16:55:18","2019-04-16 17:05:18",2202
"2019-04-16 16:55:19","2019-04-16 17:05:19",4019
"2019-04-16 16:57:22","2019-04-16 17:07:22",3209
"2019-04-16 16:57:57","2019-04-16 17:07:57",2051
"2019-04-16 16:58:45","2019-04-16 17:08:45",6011
"2019-04-16 16:58:47","2019-04-16 17:08:47",2202
"2019-04-22 13:27:06","2019-04-22 13:37:06",6011
"2019-04-22 13:27:14","2019-04-22 13:32:53",1429
"2019-04-22 13:27:15","2019-04-22 13:31:05",1100
"2019-04-22 13:27:18","2019-04-22 13:30:04",5026
"2019-04-22 13:27:23","2019-04-22 13:29:45",2204
"2019-04-22 13:27:26","2019-04-22 13:31:22",6082
"2019-04-22 13:27:38","2019-04-22 13:29:54",1425
"2019-04-22 13:27:42","2019-04-22 13:37:42",2084
"2019-04-22 13:27:47","2019-04-22 13:37:47",6011
"2019-04-22 13:27:50","2019-04-22 13:31:05",6011
"2019-04-22 13:27:52","2019-04-22 13:35:39",2051
"2019-04-22 13:27:54","2019-04-22 13:29:55",4019
"2019-04-22 13:28:00","2019-04-22 13:38:00",1100
"2019-04-22 13:28:57","2019-04-22 13:38:57",4051
"2019-04-22 13:29:08","2019-04-22 13:39:08",1429
"2019-04-22 13:29:12","2019-04-22 13:37:42",4209
"2019-04-22 13:29:16","2019-04-22 13:30:53",6011
"2019-04-22 13:29:18","2019-04-22 13:29:34",1429
"2019-04-22 13:29:33","2019-04-22 13:39:33",3019
"2019-04-22 13:29:34","2019-04-22 13:39:34",2224
"2019-04-22 13:29:36","2019-04-22 13:39:36",4059
"2019-04-22 13:29:37","2019-04-22 13:30:38",2204
"2019-04-22 13:29:40","2019-04-22 13:39:40",1300
"2019-04-22 13:29:44","2019-04-22 13:39:44",1100
"2019-04-22 13:29:45","2019-04-22 13:30:49",6011
"2019-04-22 13:29:48","2019-04-22 13:35:01",1429
"2019-04-22 13:29:52","2019-04-22 13:32:03",2051
"2019-04-22 13:29:54","2019-04-22 13:33:52",1427
"2019-04-22 13:29:55","2019-04-22 13:39:55",4051
"2019-04-22 13:30:02","2019-04-22 13:34:38",4019
"2019-04-22 13:30:04","2019-04-22 13:40:04",2204
"2019-04-22 13:30:08","2019-04-22 13:32:42",3209
"2019-04-22 13:30:15","2019-04-22 13:40:15",1300
"2019-04-22 13:30:20","2019-04-22 13:40:20",4019
"2019-04-22 13:30:21","2019-04-22 13:31:22",6011
"2019-04-22 13:30:24","2019-04-22 13:31:28",5026
"2019-04-22 13:30:28","2019-04-22 13:34:29",5082
"2019-04-22 13:30:30","2019-04-22 13:40:30",2076
"2019-04-22 13:30:31","2019-04-22 13:40:31",6011
"2019-04-22 13:30:33","2019-04-22 13:36:17",2204
"2019-04-22 13:30:34","2019-04-22 13:30:49",1427
"2019-04-22 13:30:38","2019-04-22 13:32:42",2202
"2019-04-22 13:30:40","2019-04-22 13:31:08",3019
"2019-04-22 13:30:44","2019-04-22 13:40:44",1100
"2019-04-22 13:30:49","2019-04-22 13:40:49",1422
"2019-04-22 13:30:53","2019-04-22 13:40:53",1429
"2019-04-22 13:30:54","2019-04-22 13:40:54",1100
"2019-04-22 13:30:59","2019-04-22 13:33:08",6011
"2019-04-22 13:31:01","2019-04-22 13:41:01",6082
"2019-04-22 13:31:02","2019-04-22 13:31:13",2202
"2019-04-22 13:31:05","2019-04-22 13:33:46",1100
"2019-04-22 13:31:06","2019-04-22 13:41:06",1431
"2019-04-22 13:31:07","2019-04-22 13:31:28",4019
"2019-04-22 13:31:08","2019-04-22 13:36:06",3209
"2019-04-22 13:31:10","2019-04-22 13:41:10",3019
"2019-04-22 13:31:13","2019-04-22 13:34:44",4019
"2019-04-22 13:31:18","2019-04-22 13:32:18",6082
"2019-04-22 13:31:22","2019-04-22 13:34:29",6082
"2019-04-22 13:31:25","2019-04-22 13:31:29",3059
"2019-04-22 13:31:27","2019-04-22 13:41:27",4209
"2019-04-22 13:31:28","2019-04-22 13:33:39",5026
"2019-04-22 13:31:29","2019-04-22 13:41:29",3019
"2019-04-22 13:31:36","2019-04-22 13:39:49",1412
"2019-04-22 13:31:41","2019-04-22 13:41:41",6011
"2019-04-22 13:31:44","2019-04-22 13:41:44",2076
"2019-04-22 13:31:46","2019-04-22 13:32:21",3209
"2019-04-22 13:31:50","2019-04-22 13:31:52",2204
"2019-04-22 13:31:52","2019-04-22 13:32:44",2202
"2019-04-22 13:31:56","2019-04-22 13:41:56",2204
"2019-04-22 13:32:03","2019-04-22 13:34:16",3051
"2019-04-22 13:32:09","2019-04-22 13:41:16",1425
"2019-04-22 13:32:13","2019-04-22 13:32:22",3019
"2019-04-22 13:32:18","2019-04-22 13:42:18",1429
"2019-04-22 13:32:21","2019-04-22 13:42:21",6011
"2019-04-22 13:32:22","2019-04-22 13:34:29",6082
"2019-04-22 13:32:23","2019-04-22 13:36:45",6011
"2019-04-22 13:32:24","2019-04-22 13:42:24",1412
"2019-04-22 13:32:28","2019-04-22 13:39:06",2084
"2019-04-22 13:32:31","2019-04-22 13:34:39",2051
"2019-04-22 13:32:33","2019-04-22 13:42:33",2224
"2019-04-22 13:32:38","2019-04-22 13:42:38",5082
"2019-04-22 13:32:42","2019-04-22 13:34:44",2202
"2019-04-22 13:32:44","2019-04-22 13:34:05",2204
"2019-04-22 13:32:49","2019-04-22 13:33:14",4209
"2019-04-22 13:32:53","2019-04-22 13:42:53",1429
"2019-04-22 13:32:58","2019-04-22 13:42:58",1100
"2019-04-22 13:33:00","2019-04-22 13:43:00",1431
"2019-04-22 13:33:02","2019-04-22 13:43:02",6011
"2019-04-22 13:33:03","2019-04-22 13:35:07",6011
"2019-04-22 13:33:06","2019-04-22 13:35:39",3209
"2019-04-22 13:33:08","2019-04-22 13:37:21",6011
"2019-04-22 13:33:09","2019-04-22 13:43:09",1429
"2019-04-22 13:33:14","2019-04-22 13:35:07",4209
"2019-04-22 13:33:15","2019-04-22 13:43:15",1300
"2019-04-22 13:33:30","2019-04-22 13:43:30",1412
"2019-04-22 13:33:39","2019-04-22 13:34:38",5026
"2019-04-22 13:33:46","2019-04-22 13:43:46",1100
"2019-04-22 13:33:51","2019-04-22 13:35:44",5054
"2019-04-22 13:33:52","2019-04-22 13:34:55",1427
"2019-04-22 13:34:00","2019-04-22 13:34:39",5026
"2019-04-22 13:34:05","2019-04-22 13:44:05",1433
"2019-04-22 13:34:15","2019-04-22 13:35:00",2202
"2019-04-22 13:34:16","2019-04-22 13:35:10",2224
"2019-04-22 13:34:21","2019-04-22 13:35:00",1412
"2019-04-22 13:34:23","2019-04-22 13:40:45",5026
"2019-04-22 13:34:29","2019-04-22 13:44:29",1431
"2019-04-22 13:34:35","2019-04-22 13:44:35",1431
"2019-04-22 13:34:38","2019-04-22 13:44:38",1100
"2019-04-22 13:34:39","2019-04-22 13:42:26",6011
"2019-04-22 13:34:41","2019-04-22 13:35:06",3019
"2019-04-22 13:34:44","2019-04-22 13:37:19",6082
"2019-04-22 13:34:49","2019-04-22 13:44:49",5026
"2019-04-22 13:34:55","2019-04-22 13:44:55",1427
"2019-04-22 13:34:58","2019-04-22 13:44:58",1422
"2019-04-22 13:35:00","2019-04-22 13:45:00",2202
"2019-04-22 13:35:01","2019-04-22 13:37:04",6011
"2019-04-22 13:35:06","2019-04-22 13:45:06",3019
"2019-04-22 13:35:07","2019-04-22 13:35:11",6011
"2019-04-22 13:35:10","2019-04-22 13:35:11",2202
"2019-04-22 13:35:11","2019-04-22 13:36:12",6011
"2019-04-22 13:35:14","2019-04-22 13:38:28",4059
"2019-04-22 13:35:16","2019-04-22 13:45:16",1429
"2019-04-22 13:35:26","2019-04-22 13:45:26",6049
"2019-04-22 13:35:38","2019-04-22 13:45:38",1100
"2019-04-22 13:35:39","2019-04-22 13:42:11",2204
